index,data
898,6863
899,6894
900,6883
901,6854
902,6867
903,6894
904,6854
905,6874
906,6863
907,6890
908,6883
909,6876
910,6883
911,6860
912,6894
913,6874
914,6874
915,6883
916,6869
917,6854
918,6883
919,6876
920,6869
921,6869
922,6863
923,6890
924,6881
925,6860
926,6903
927,6881
928,6876
929,6890
930,6883
931,6876
932,6860
933,6876
934,6849
935,6840
936,6856
937,6869
938,6869
939,6869
940,6894
941,6863
942,6881
943,6881
944,6883
945,6883
946,6854
947,6860
948,6827
949,6881
950,6881
951,6890
952,6883
953,6854
954,6883
955,6883
956,6903
957,6876
958,6890
959,6876
960,6890
961,6907
962,6894
963,6869
964,6869
965,6854
966,6887
967,6867
968,6876
969,6827
970,6894
971,6894
972,6874
973,6887
974,6860
975,6869
976,6894
977,6874
978,6881
979,6869
980,6883
981,6894
982,6860
983,6874
984,6918
985,6869
986,6890
987,6874
988,6876
989,6860
990,6854
991,6869
992,6883
993,6869
994,6869
995,6863
996,6901
997,6890
998,6876
999,6860
1000,6881
1001,6854
1002,6867
1003,6883
1004,6876
1005,6890
1006,6881
1007,6867
1008,6890
1009,6894
1010,6890
1011,6874
1012,6874
1013,6874
1014,6874
1015,6883
1016,6867
1017,6890
1018,6867
1019,6890
1020,6894
1021,6860
1022,6910
1023,6869
1024,6860
1025,6867
1026,6874
1027,6854
1028,6890
1029,6883
1030,6890
1031,6883
1032,6876
1033,6890
1034,6883
1035,6883
1036,6890
1037,6867
1038,6881
1039,6883
1040,6876
1041,6876
1042,6867
1043,6894
1044,6883
1045,6874
1046,6867
1047,6894
1048,6876
1049,6876
1050,6876
1051,6890
1052,6847
1053,6867
1054,6863
1055,6894
1056,6860
1057,6887
1058,6887
1059,6901
1060,6890
1061,6881
1062,6876
1063,6876
1064,6874
1065,6883
1066,6869
1067,6890
1068,6876
1069,6847
1070,6869
1071,6876
1072,6894
1073,6890
1074,6890
1075,6874
1076,6883
1077,6854
1078,6860
1079,6876
1080,6890
1081,6867
1082,6887
1083,6883
1084,6874
1085,6883
1086,6881
1087,6883
1088,6876
1089,6874
1090,6869
1091,6876
1092,6869
1093,6876
1094,6854
1095,6860
1096,6874
1097,6867
1098,6847
1099,6867
1100,6894
1101,6887
1102,6881
1103,6869
1104,6890
1105,6894
1106,6890
1107,6894
1108,6876
1109,6894
1110,6890
1111,6887
1112,6876
1113,6887
1114,6901
1115,6869
1116,6883
1117,6883
1118,6863
1119,6894
1120,6881
1121,6860
1122,6874
1123,6903
1124,6869
1125,6869
1126,6867
1127,6869
1128,6867
1129,6881
1130,6887
1131,6883
1132,6883
1133,6876
1134,6876
1135,6883
1136,6863
1137,6876
1138,6869
1139,6869
1140,6867
1141,6887
1142,6860
1143,6894
1144,6883
1145,6883
1146,6847
1147,6860
1148,6863
1149,6874
1150,6876
1151,6869
1152,6881
1153,6869
1154,6883
1155,6914
1156,6876
1157,6860
1158,6881
1159,6867
1160,6876
1161,6881
1162,6874
1163,6874
1164,6883
1165,6874
1166,6883
1167,6854
1168,6876
1169,6827
1170,6860
1171,6867
1172,6867
1173,6894
1174,6876
1175,6867
1176,6867
1177,6876
1178,6874
1179,6874
1180,6869
1181,6856
1182,6856
1183,6883
1184,6894
1185,6863
1186,6890
1187,6860
1188,6890
1189,6860
1190,6894
1191,6881
1192,6867
1193,6867
1194,6890
1195,6883
1196,6876
1197,6890
1198,6890
1199,6876
1200,6901
1201,6901
1202,6881
1203,6867
1204,6887
1205,6876
1206,6890
1207,6883
1208,6874
1209,6874
1210,6874
1211,6869
1212,6883
1213,6890
1214,6854
1215,6883
1216,6869
1217,6869
1218,6869
1219,6847
1220,6890
1221,6894
1222,6894
1223,6887
1224,6894
1225,6883
1226,6869
